Date_of_Stay	Bucket	Season
2016-04-16	ABEF	High
2016-04-16	CDGH	High
2016-04-16	IJ	High
2016-04-16	KLZ	High
2016-04-16	QRSTY	Mid
2016-04-17	ABEF	High
2016-04-17	CDGH	High
2016-04-17	IJ	High
2016-04-17	KLZ	High
2016-04-17	QRSTY	Mid
2016-04-18	ABEF	High
2016-04-18	CDGH	High
2016-04-18	IJ	High
2016-04-18	KLZ	High
2016-04-18	QRSTY	Mid
2016-04-19	ABEF	High
2016-04-19	CDGH	High
2016-04-19	IJ	High
2016-04-19	KLZ	High
2016-04-19	QRSTY	Mid
2016-04-20	ABEF	High
2016-04-20	CDGH	High
2016-04-20	IJ	High
2016-04-20	KLZ	High
2016-04-20	QRSTY	Mid
2016-04-21	ABEF	High
2016-04-21	CDGH	High
2016-04-21	IJ	High
2016-04-21	KLZ	High
2016-04-21	QRSTY	Mid
2016-04-22	ABEF	High
2016-04-22	CDGH	High
2016-04-22	IJ	High
2016-04-22	KLZ	High
2016-04-22	QRSTY	Mid
2016-04-23	ABEF	High
2016-04-23	CDGH	High
2016-04-23	IJ	High
2016-04-23	KLZ	High
2016-04-23	QRSTY	Mid
2016-04-24	ABEF	High
2016-04-24	CDGH	High
2016-04-24	IJ	High
2016-04-24	KLZ	High
2016-04-24	QRSTY	Mid
2016-04-25	ABEF	High
2016-04-25	CDGH	High
2016-04-25	IJ	High
2016-04-25	KLZ	High
2016-04-25	QRSTY	Mid
2016-04-26	ABEF	High
2016-04-26	CDGH	High
2016-04-26	IJ	High
2016-04-26	KLZ	High
2016-04-26	QRSTY	Mid
2016-04-27	ABEF	High
2016-04-27	CDGH	High
2016-04-27	IJ	High
2016-04-27	KLZ	High
2016-04-27	QRSTY	Mid
2016-04-28	ABEF	High
2016-04-28	CDGH	High
2016-04-28	IJ	High
2016-04-28	KLZ	High
2016-04-28	QRSTY	Mid
2016-04-29	ABEF	High
2016-04-29	CDGH	High
2016-04-29	IJ	High
2016-04-29	KLZ	High
2016-04-29	QRSTY	Mid
2016-04-30	ABEF	High
2016-04-30	CDGH	High
2016-04-30	IJ	High
2016-04-30	KLZ	High
2016-04-30	QRSTY	Mid
2016-05-01	ABEF	Low
2016-05-01	CDGH	Low
2016-05-01	IJ	High
2016-05-01	KLZ	Low
2016-05-01	QRSTY	Low
2016-05-02	ABEF	Low
2016-05-02	CDGH	Low
2016-05-02	IJ	High
2016-05-02	KLZ	Low
2016-05-02	QRSTY	Low
2016-05-03	ABEF	Low
2016-05-03	CDGH	Low
2016-05-03	IJ	High
2016-05-03	KLZ	Low
2016-05-03	QRSTY	Low
2016-05-04	ABEF	Low
2016-05-04	CDGH	Low
2016-05-04	IJ	High
2016-05-04	KLZ	Low
