Dates_DOS	Season	Major Events	Date_of_Week	DoW_Nr	WD_WE	Month
2017-08-09	Low		Wed	4	WD	Aug
2017-08-08	Low		Tue	3	WD	Aug
2017-08-07	Low		Mon	2	WD	Aug
2017-08-06	Low		Sun	1	WD	Aug
2017-08-05	Low		Sat	7	WE	Aug
2017-08-04	Low		Fri	6	WE	Aug
2017-08-03	Low		Thu	5	WE	Aug
2017-08-02	Low		Wed	4	WD	Aug
2017-08-01	Low		Tue	3	WD	Aug
2017-07-31	Low		Mon	2	WD	Jul
2017-07-30	Low		Sun	1	WD	Jul
2017-07-29	Low		Sat	7	WE	Jul
2017-07-28	Low		Fri	6	WE	Jul
2017-07-27	Low		Thu	5	WE	Jul
2017-07-26	Low		Wed	4	WD	Jul
2017-07-25	Low		Tue	3	WD	Jul
2017-07-24	Low		Mon	2	WD	Jul
2017-07-23	Low		Sun	1	WD	Jul
2017-07-22	Low		Sat	7	WE	Jul
2017-07-21	Low		Fri	6	WE	Jul
2017-07-20	Low		Thu	5	WE	Jul
2017-07-19	Low		Wed	4	WD	Jul
2017-07-18	Low		Tue	3	WD	Jul
2017-07-17	Low		Mon	2	WD	Jul
2017-07-16	Low		Sun	1	WD	Jul
2017-07-15	Low		Sat	7	WE	Jul
2017-07-14	Low		Fri	6	WE	Jul
2017-07-13	Low		Thu	5	WE	Jul
2017-07-12	Low		Wed	4	WD	Jul
2017-07-11	Low		Tue	3	WD	Jul
2017-07-10	Low		Mon	2	WD	Jul
2017-07-09	Low		Sun	1	WD	Jul
2017-07-08	Low		Sat	7	WE	Jul
2017-07-07	Low		Fri	6	WE	Jul
2017-07-06	Low		Thu	5	WE	Jul
2017-07-05	Low		Wed	4	WD	Jul
2017-07-04	Low		Tue	3	WD	Jul
2017-07-03	Low		Mon	2	WD	Jul
2017-07-02	Low	"EID-AL FITR"	Sun	1	WD	Jul
2017-07-01	Low	"EID-AL FITR"	Sat	7	WE	Jul
2017-06-30	Mid	"EID-AL FITR"	Fri	6	WE	Jun
2017-06-29	Mid	"EID-AL FITR"	Thu	5	WE	Jun
2017-06-28	Mid	"EID-AL FITR"	Wed	4	WD	Jun
2017-06-27	Mid	"EID-AL FITR"	Tue	3	WD	Jun
2017-06-26	Mid	"EID-AL FITR"	Mon	2	WD	Jun
2017-06-25	Ramadan		Sun	1	WD	Jun
2017-06-24	Ramadan		Sat	7	WE	Jun
2017-06-23	Ramadan		Fri	6	WE	Jun
2017-06-22	Ramadan		Thu	5	WE	Jun
2017-06-21	Ramadan		Wed	4	WD	Jun
2017-06-20	Ramadan		Tue	3	WD	Jun
2017-06-19	Ramadan		Mon	2	WD	Jun
2017-06-18	Ramadan		Sun	1	WD	Jun
2017-06-17	Ramadan		Sat	7	WE	Jun
2017-06-16	Ramadan		Fri	6	WE	Jun
2017-06-15	Ramadan		Thu	5	WE	Jun
2017-06-14	Ramadan		Wed	4	WD	Jun
2017-06-13	Ramadan		Tue	3	WD	Jun
2017-06-12	Ramadan		Mon	2	WD	Jun
2017-06-11	Ramadan		Sun	1	WD	Jun
2017-06-10	Ramadan		Sat	7	WE	Jun
